MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
11759 On ch=1 n=59 v=64
11819 On ch=1 n=59 v=0
11819 On ch=1 n=58 v=64
11879 On ch=1 n=58 v=0
11879 On ch=1 n=59 v=64
11939 On ch=1 n=59 v=0
11939 On ch=1 n=61 v=64
11999 On ch=1 n=61 v=0
11999 On ch=1 n=59 v=64
12119 On ch=1 n=59 v=0
12179 On ch=1 n=61 v=64
12239 On ch=1 n=61 v=0
12239 On ch=1 n=59 v=64
12359 On ch=1 n=59 v=0
12419 On ch=1 n=61 v=64
12479 On ch=1 n=61 v=0
12479 On ch=1 n=59 v=64
12539 On ch=1 n=59 v=0
12599 On ch=1 n=66 v=64
12659 On ch=1 n=66 v=0
12719 On ch=1 n=59 v=64
12779 On ch=1 n=59 v=0
12839 On ch=1 n=71 v=64
12899 On ch=1 n=71 v=0
12899 On ch=1 n=66 v=64
12959 On ch=1 n=66 v=0
12959 On ch=1 n=66 v=64
13199 On ch=1 n=66 v=0
13199 On ch=1 n=59 v=64
13319 On ch=1 n=59 v=0
13319 On ch=1 n=78 v=64
13379 On ch=1 n=78 v=0
13379 On ch=1 n=78 v=64
13439 On ch=1 n=78 v=0
13439 On ch=1 n=78 v=64
13799 On ch=1 n=78 v=0
13919 On ch=1 n=76 v=64
14009 On ch=1 n=76 v=0
14009 On ch=1 n=75 v=64
14039 On ch=1 n=75 v=0
14039 On ch=1 n=76 v=64
14069 On ch=1 n=76 v=0
14069 On ch=1 n=75 v=64
14099 On ch=1 n=75 v=0
14099 On ch=1 n=76 v=64
14129 On ch=1 n=76 v=0
14129 On ch=1 n=75 v=64
14159 On ch=1 n=75 v=0
14159 On ch=1 n=76 v=64
14219 On ch=1 n=76 v=0
14219 On ch=1 n=76 v=64
14279 On ch=1 n=76 v=0
14279 On ch=1 n=75 v=64
14339 On ch=1 n=75 v=0
14339 On ch=1 n=73 v=64
14399 On ch=1 n=73 v=0
14399 On ch=1 n=71 v=64
14429 On ch=1 n=71 v=0
14429 On ch=1 n=75 v=64
14519 On ch=1 n=75 v=0
14519 On ch=1 n=75 v=64
14579 On ch=1 n=75 v=0
14579 On ch=1 n=71 v=64
14639 On ch=1 n=71 v=0
14639 On ch=1 n=71 v=64
14699 On ch=1 n=71 v=0
14699 On ch=1 n=71 v=64
14759 On ch=1 n=71 v=0
14759 On ch=1 n=70 v=64
14819 On ch=1 n=70 v=0
14819 On ch=1 n=70 v=64
14879 On ch=1 n=70 v=0
14879 On ch=1 n=59 v=64
14999 On ch=1 n=59 v=0
15059 On ch=1 n=61 v=64
15119 On ch=1 n=61 v=0
15119 On ch=1 n=59 v=64
15239 On ch=1 n=59 v=0
