Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Wanderlust,2018-11-06,2012,R,"Comedy, Romance",David Wain,"David Wain, Ken Marino","Jennifer Aniston, Paul Rudd, Malin Akerman","English, Swedish, Italian, Portuguese, French",5.6,tt1655460
Wanted,2015-02-21,2008,R,"Action, Crime, Thriller",Timur Bekmambetov,"Michael Brandt, Derek Haas, Chris Morgan","Angelina Jolie, James McAvoy, Morgan Freeman",English,6.7,tt0493464
War Horse,2019-05-31,2011,PG-13,"Action, Adventure, Drama",Steven Spielberg,"Lee Hall, Richard Curtis, Michael Morpurgo","Jeremy Irvine, Emily Watson, David Thewlis","English, German",7.2,tt1568911
Warrior Nun,2020-07-23,2020–,TV-MA,"Action, Drama, Fantasy",N/A,Simon Barry,"Alba Baptista, Toya Turner, Kristina Tonteri-Young",English,6.9,tt9059350
We Are the Champions,2020-11-21,2020–,TV-MA,"Documentary, Game-Show",N/A,N/A,"Rainn Wilson, Chris Anderson, John Anderson",English,7.1,tt12409154
We Bought a Zoo,2013-11-13,2011,PG,"Comedy, Drama, Family",Cameron Crowe,"Aline Brosh McKenna, Cameron Crowe, Benjamin Mee","Matt Damon, Scarlett Johansson, Thomas Haden Church","English, Spanish",7.1,tt1389137
Weeds,2015-10-27,2005–2012,TV-MA,"Comedy, Crime, Drama",N/A,Jenji Kohan,"Mary-Louise Parker, Hunter Parrish, Alexander Gould","English, Spanish",7.9,tt0439100
Welcome to Leith,2016-05-14,2015,Not Rated,Documentary,"Michael Beach Nichols, Christopher K. Walker","Michael Beach Nichols, Christopher K. Walker","Craig Cobb, Ryan Lenz, Amber Schatz",English,6.9,tt3962848
Wet Hot American Summer,2017-08-05,2001,R,"Comedy, Romance",David Wain,"Michael Showalter, David Wain","Janeane Garofalo, David Hyde Pierce, Michael Showalter",English,6.6,tt0243655
When We First Met,2018-04-05,2018,TV-14,"Comedy, Fantasy, Romance",Ari Sandel,John Whittington,"Adam Devine, Alexandra Daddario, Shelley Hennig","English, Mandarin",6.4,tt5783956
Whitey,2015-01-29,2014–,N/A,Drama,N/A,N/A,"Jeff Hennessy, Donald Watson, Richie Stephens, Chris Garcia",English,N/A,tt4273400
Wildlike,2016-08-10,2014,Not Rated,"Adventure, Drama, Thriller",Frank Hall Green,Frank Hall Green,"Ella Purnell, Brian Geraghty, Diane Farr",English,6.6,tt2204080
Win Win,2014-05-01,2011,R,"Comedy, Drama, Sport",Tom McCarthy,"Tom McCarthy, Joe Tiboni","Paul Giamatti, Amy Ryan, Jeffrey Tambor",English,7.1,tt1606392
Wind River,2018-08-13,2017,R,"Crime, Drama, Mystery",Taylor Sheridan,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene",English,7.7,tt5362988
Wine Country,2019-05-17,2019,R,"Adventure, Comedy, Drama",Amy Poehler,"Liz Cackowski, Emily Spivey","Amy Poehler, Rachel Dratch, Ana Gasteyer",English,5.5,tt8169446
Winter's Bone,2019-04-27,2010,R,"Drama, Mystery",Debra Granik,"Debra Granik, Anne Rosellini, Daniel Woodrell","Jennifer Lawrence, John Hawkes, Garret Dillahunt",English,7.2,tt1399683
Wish I Was Here,2015-04-24,2014,R,"Comedy, Drama",Zach Braff,"Adam J. Braff, Zach Braff","Zach Braff, Joey King, Pierce Gagnon",English,6.6,tt2870708
Witches of East End,2014-07-06,2013–2014,TV-14,"Comedy, Drama, Fantasy",N/A,Maggie Friedman,"Julia Ormond, Jenna Dewan, Rachel Boston",English,7.6,tt2288064
Wolves,2019-04-14,2014,R,"Action, Fantasy, Horror",David Hayter,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson",English,5.3,tt1403241
World War Z,2014-03-20,2013,PG-13,"Action, Adventure, Horror",Marc Forster,"Matthew Michael Carnahan, Drew Goddard, Damon Lindelof","Brad Pitt, Mireille Enos, Daniella Kertesz","English, Spanish, Hebrew, Arabic",7.0,tt0816711
World of Tomorrow,2016-02-07,2015,G,"Animation, Short, Comedy",Don Hertzfeldt,Don Hertzfeldt,"Julia Pott, Winona Mae, Sara Cushman",English,8.1,tt4171032
World's Busiest Cities,2019-02-17,2017,N/A,Documentary,N/A,N/A,"Ade Adepitan, Anita Rani, Dan Snow",English,7.4,tt8950426
Wrath of the Titans,2014-07-06,2012,PG-13,"Action, Adventure, Fantasy",Jonathan Liebesman,"Dan Mazeau, David Leslie Johnson-McGoldrick, Greg Berlanti","Sam Worthington, Liam Neeson, Rosamund Pike",English,5.7,tt1646987
Year One,2018-08-27,2009,PG-13,Comedy,Harold Ramis,"Harold Ramis, Gene Stupnitsky, Lee Eisenberg","Jack Black, Michael Cera, Olivia Wilde",English,4.9,tt1045778
You Live in What?,2016-05-21,2012–,N/A,Documentary,N/A,N/A,"Tom Crehan, Tony Frassrand, George Clarke",English,7.4,tt2772364
You vs. Wild,2019-04-21,2019,TV-PG,"Adventure, Reality-TV",N/A,"Robert Buchta, Bear Grylls, Delbert Shoopman",Bear Grylls,English,6.7,tt10044952
You're Not You,2015-12-12,2014,R,Drama,George C. Wolfe,"Shana Feste, Jordan Roberts, Michelle Wildgen","Hilary Swank, Emmy Rossum, Josh Duhamel","English, American Sign ",7.3,tt1198156
You've Got Mail,2017-05-08,1998,PG,"Comedy, Drama, Romance",Nora Ephron,"Miklós László, Nora Ephron, Delia Ephron","Tom Hanks, Meg Ryan, Greg Kinnear",English,6.7,tt0128853
Your Highness,2017-07-13,2011,R,"Adventure, Comedy, Fantasy",David Gordon Green,"Danny McBride, Ben Best","Danny McBride, Natalie Portman, James Franco",English,5.5,tt1240982
Youth in Revolt,2014-05-07,2009,R,"Comedy, Drama, Romance",Miguel Arteta,"Gustin Nash, C.D. Payne","Michael Cera, Portia Doubleday, Jean Smart","English, French, Spanish",6.4,tt0403702
Between Two Ferns with Zach Galifianakis,2020-03-20,2008–,TV-14,"Short, Comedy, Talk-Show",N/A,"Scott Aukerman, BJ Porter, Zach Galifianakis","Zach Galifianakis, Jon Hamm, Bradley Cooper",English,8.4,tt1535002
Zack and Miri Make a Porno,2018-10-17,2008,R,"Comedy, Romance",Kevin Smith,Kevin Smith,"Seth Rogen, Elizabeth Banks, Craig Robinson",English,6.5,tt1007028
Zion,2018-08-21,2018,N/A,"Documentary, Short, Biography",Floyd Russ,N/A,"Zion Clark, Gilbert Donahue, Kimberly Clark",English,7.2,tt7820962
Zodiac,2016-10-24,2007,R,"Crime, Drama, Mystery",David Fincher,"James Vanderbilt, Robert Graysmith","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo",English,7.7,tt0443706
Zombieland,2014-04-04,2009,R,"Adventure, Comedy, Fantasy",Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Emma Stone, Woody Harrelson","English, Spanish, French",7.6,tt1156398
Zoo,2021-06-29,2015–2017,TV-14,"Drama, Mystery, Sci-Fi",N/A,"Josh Appelbaum, André Nemec, Jeff Pinkner","James Wolk, Kristen Connolly, Nonso Anozie",English,6.7,tt3250026
iBoy,2017-02-03,2017,TV-MA,"Action, Crime, Sci-Fi",Adam Randall,"Joe Barton, Kevin Brooks, Mark Denton","Bill Milner, Maisie Williams, Miranda Richardson",English,6.0,tt3171832
