Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
The Overnight,2016-06-18,2015,R,"Comedy, Mystery",Patrick Brice,Patrick Brice,"Adam Scott, Taylor Schilling, Jason Schwartzman","English, French",6.1,tt3844362
The Package,2018-08-12,2018,TV-MA,"Comedy, Thriller",Jake Szymanski,"Kevin Burrows, Matt Mider","Daniel Doheny, Geraldine Viswanathan, Sadie Calvano",English,5.5,tt7525778
The Perfect Date,2019-04-21,2019,TV-14,"Comedy, Romance",Chris Nelson,"Steve Bloom, Randall Green","Noah Centineo, Laura Marano, Odiseas Georgiadis",English,5.8,tt8201170
The Perfect Storm,2016-04-07,2000,PG-13,"Action, Adventure, Drama",Wolfgang Petersen,"Sebastian Junger, William D. Wittliff","George Clooney, Mark Wahlberg, John C. Reilly",English,6.4,tt0177971
The Perks of Being a Wallflower,2020-10-08,2012,PG-13,"Drama, Romance",Stephen Chbosky,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller",English,7.9,tt1659337
The Phenom,2018-08-20,2016,Not Rated,"Drama, Sport",Noah Buschel,Noah Buschel,"Johnny Simmons, Ethan Hawke, Paul Giamatti",English,5.3,tt3885524
The Physics of Light,2015-10-15,2014–,TV-PG,Documentary,N/A,N/A,"Alan Calton, Richard Cunningham, Leo Turner","Korean, English",N/A,tt13807798
The Pianist,2019-02-16,2002,R,"Biography, Drama, Music",Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Thomas Kretschmann, Frank Finlay","English, German, Russian",8.5,tt0253474
The Piano,2021-08-28,1993,R,"Drama, Music, Romance",Jane Campion,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill","English, British Sign , Maori",7.6,tt0107822
The Queen,2020-11-28,2006,PG-13,"Biography, Drama, History",Stephen Frears,Peter Morgan,"Helen Mirren, Michael Sheen, James Cromwell","English, German, French",7.3,tt0436697
The Queen's Gambit,2021-06-17,2020,TV-MA,Drama,N/A,"Scott Frank, Allan Scott","Anya Taylor-Joy, Chloe Pirrie, Bill Camp","French, Spanish, Russian, English",8.6,tt10048342
The Railway Man,2021-08-30,2013,R,"Biography, Drama, Romance",Jonathan Teplitzky,"Frank Cottrell Boyce, Andy Paterson, Eric Lomax","Colin Firth, Nicole Kidman, Stellan Skarsgård","English, Japanese",7.1,tt2058107
The Rain,2018-05-17,2018–2020,TV-MA,"Drama, Sci-Fi, Thriller",N/A,"Jannik Tai Mosholt, Christian Potalivo, Esben Toft Jacobsen","Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard",Danish,6.3,tt6656238
The Reader,2018-06-15,2008,R,"Drama, Romance",Stephen Daldry,"David Hare, Bernhard Schlink","Kate Winslet, Ralph Fiennes, Bruno Ganz","English, German, Greek, Latin",7.6,tt0976051
The Repair Shop,2021-04-09,2017–,N/A,"Documentary, Reality-TV",N/A,N/A,"Jay Blades, Steven Fletcher, William Kirk",English,8.7,tt6685272
The Replacements,2016-05-13,2000,PG-13,"Comedy, Sport",Howard Deutch,Vince McKewin,"Keanu Reeves, Gene Hackman, Brooke Langton","English, American Sign ",6.6,tt0191397
The Returned,2014-11-09,2015,TV-14,"Drama, Fantasy, Horror",N/A,Carlton Cuse,"Kevin Alejandro, Agnes Bruckner, India Ennenga",English,7.1,tt3230780
The Ridiculous 6,2015-12-11,2015,TV-14,"Action, Adventure, Comedy",Frank Coraci,"Tim Herlihy, Adam Sandler","Adam Sandler, Terry Crews, Jorge Garcia",English,4.8,tt2479478
The Ring,2020-01-12,2002,PG-13,"Horror, Mystery",Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, Martin Henderson, Brian Cox",English,7.1,tt0298130
The River Wild,2018-09-30,1994,PG-13,"Adventure, Crime, Thriller",Curtis Hanson,Denis O'Neill,"Meryl Streep, Kevin Bacon, David Strathairn","English, American Sign ",6.4,tt0110997
The Rock,2017-04-08,1996,R,"Action, Adventure, Thriller",Michael Bay,"David Weisberg, Douglas Cook, Mark Rosner","Sean Connery, Nicolas Cage, Ed Harris",English,7.4,tt0117500
The Sandlot,2016-05-11,1993,PG,"Comedy, Drama, Family",David Mickey Evans,"David Mickey Evans, Robert Gunter","Tom Guiry, Mike Vitar, Art LaFleur",English,7.8,tt0108037
The Secret Life of Walter Mitty,2014-09-27,2013,PG,"Adventure, Comedy, Drama",Ben Stiller,"Steve Conrad, James Thurber","Ben Stiller, Kristen Wiig, Jon Daly","English, Spanish, Icelandic",7.3,tt0359950
The Secret Rules of Modern Living: Algorithms,2016-05-25,2015,TV-G,Documentary,David Briggs,N/A,"Marcus du Sautoy, Björn Bringert, Patrick Prosser, Leslie Ann Goldberg",English,7.5,tt5818010
The Shawshank Redemption,2020-03-07,1994,R,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton",English,9.3,tt0111161
The Siege of Jadotville,2017-03-05,2016,TV-MA,"Action, Drama, History",Richie Smyth,"Kevin Brodbin, Declan Power","Richard Lukunku, Danny Sapani, Andrew Stock","English, Irish Gaelic, French, Spanish",7.2,tt3922798
