source,target,Weight
Jacob Bergrin,Joseph Green,1
Jacob Bergrin,Yankev Blayfer,1
Jacob Bergrin,Dovid Pinski,1
Jacob Bergrin,Peretz Hirschbein,1
Jacob Bergrin,H. Leivick,1
Jacob Bergrin,Boris Aronson,1
Jacob Bergrin,David Vardi,1
Jacob Bergrin,Dina Halpern,1
Jacob Bergrin,Wolf Barzel,1
Jacob Bergrin,Rudolph Schildkraut,1
Jacob Bergrin,David Belasco,1
Jacob Bergrin,Frida Vitalin,1
Dovid Birnboym,Dovid Herman,1
Dovid Birnboym,Zygmunt Turkow,1
Dovid Birnboym,Khayele Shiper,1
Roza Birnboym,Leyzer Zhelazo,1
Roza Birnboym,Misha Fishzon,1
Roza Birnboym,Nokhum Lipovski,1
Roza Birnboym,Zygmunt Turkow,1
Roza Birnboym,Ester-Rokhl Kaminska,1
Roza Birnboym,Betty Dalska,1
Roza Birnboym,Ida Kaminska,1
Roza Birnboym,Wolf Zilberberg,1
Roza Birnboym,Leyzer Zhelazo,1
Roza Birnboym,Dovid Herman,1
Fela Biro,Alexander Granovsky,1
Fela Biro,Maurice Schwartz,1
Fela Biro,Rudolph Schildkraut,1
Fela Biro,Yankev Mestel,1
Fela Biro,Ester Neroslavska,1
Fela Biro,Maurice Schwartz,1
Fela Biro,Julius Adler,1
Fela Biro,Leah Naomi,1
Fela Biro,Helen Beverly,1
Fela Biro,Zvi Scooler,1
Fela Biro,Reuven Vendorf,1
Fela Biro,Avrom Taytlboym,1
Fela Biro,Jerome Robbins,1
Fela Biro,Leola Vendorf,1
Fela Biro,Molly Pickus,1
Fela Biro,Luba Kadison,1
Fela Biro,Bertha Gersten,1
Fela Biro,Jacob Ben-Ami,1
Fela Biro,Paul Baratoff,1
Yankev Blayfer,Mendl Elkin,1
Yankev Blayfer,Chaim Shniur,1
Yankev Blayfer,Bela Belarina,1
Yankev Blayfer,Joseph Green,1
Yankev Blayfer,Dovid Pinski,1
Yankev Blayfer,Peretz Hirschbein,1
Yankev Blayfer,H. Leivick,1
Yankev Blayfer,Jacob Bergrin,1
Yankev Blayfer,David Vardi,1
Yankev Blayfer,Egon Brecher,1
Yankev Blayfer,Elliot Gould,1
Yankev Blayfer,Gene Wilder,1
Yankev Blayfer,Harrison Ford,1
Yankev Blayfer,Leo Fuchs,1
Yankev Blayfer,Norman Jewison,1
Yankev Blayfer,Sylvester Stallone,1
Yankev Blayfer,Kevin Conway,1
Yankev Blayfer,Sandra Dee,1
Yankev Blayfer,Bobby Darin,1
Yankev Blayfer,Kirk Douglas,1
Yankev Blayfer,Alexander Azro,1
Yankev Blayfer,Clark Gable,1
Yankev Blayfer,Hedy Lamarr,1
Yankev Blayfer,Tyrone Power,1
Yankev Blayfer,Richard Boleslavsky,1
Yankev Blayfer,Rudolph Schildkraut,1
Yankev Blayfer,Wolf Barzel,1
Yankev Blayfer,Maurice Schwartz,1
Yankev Blayfer,Bertha Gersten,1
Yankev Blayfer,Frida Vitalin,1
Shabsay Bliakher,Avrom Morevsky,1
Shabsay Bliakher,Moyshe Lipman,1
Shabsay Bliakher,Zygmunt Turkow,1
Yitzkhok Blifeld,A.Y. Kaminski,1
Yitzkhok Blifeld,Misha Fishzon,1
Yitzkhok Blifeld,Boris Thomashefsky,1
Frida Blumental,Peretz Hirschbein,1
Khane Braz,Klara Segalovitch,1
Khane Braz,Alex Stein,1
Khane Braz,Avrom Morevsky,1
Khane Braz,Isaac Samberg,1
Khane Braz,Rivka Shiller,1
Khane Braz,Yankev Mandlblit,1
Khane Braz,Daniel Shapiro,1
Natan Breitman,Hertz Grosbard,1
Natan Breitman,Paul Breitman,1
Natan Breitman,Lidia Pototska,1
Moyshe Broderzon,Shimon Dzigan,1
Moyshe Broderzon,Yisroel Shumacher,1
Moyshe Broderzon,Dovid Herman,1
Moyshe Broderzon,Miriam Lipska-Mansdorf,1
Joseph Buloff,Maurice Schwartz,1
Joseph Buloff,Celia Adler,1
Joseph Buloff,Stella Adler,1
Joseph Buloff,Leib Kadison,1
Joseph Buloff,Luba Kadison,1
Joseph Buloff,Yankev Mestel,1
Joseph Buloff,Leslie Goodwins,1
Joseph Buloff,Rita Hayworth,1
Joseph Buloff,Luther Adler,1
Joseph Buloff,Edgar G. Ulmer,1
Joseph Buloff,Jascha Heifetz,1
Joseph Buloff,John Banner,1
Joseph Buloff,Delmar Daves,1
Joseph Buloff,Maria Ouspenskaya,1
Joseph Buloff,Fyvush Finkel,1
Joseph Buloff,Menasha Skulnik,1
Joseph Buloff,Leo Fuchs,1
Joseph Buloff,Seymour Rexite,1
Joseph Buloff,Paul Newman,1
Joseph Buloff,Fred Astaire,1
Joseph Buloff,Cyd Charisse,1
Joseph Buloff,Warren Beatty,1
Joseph Buloff,Diane Keaton,1
Joseph Buloff,Jack Nicholson,1
Joseph Buloff,Gene Hackman,1
Joseph Buloff,Arthur Hopkins,1
Joseph Buloff,Howard Da Silva,1
Joseph Buloff,Paul Baratoff,1
Joseph Buloff,Baruch Lumet,1
Joseph Buloff,Boris Aronson,1
Joseph Buloff,Avrom Taytlboym,1
Joseph Buloff,Anne Meacham,1
Joseph Buloff,Walter Matthau,1
Joseph Buloff,Harold Clurman,1
Joseph Buloff,Sanford Meisner,1
Joseph Buloff,Uta Hagen,1
Joseph Buloff,Agnes De Mille,1
Joseph Buloff,Guthrie McClintic,1
Joseph Buloff,Morris Carnovsky,1
Joseph Buloff,Sidney Lumet,1
Joseph Buloff,Molly Picon,1
Joseph Buloff,Avrom Morevsky,1
Joseph Buloff,Alex Stein,1
Joseph Buloff,Yosef Kamen,1
Joseph Buloff,Simkhe Natan,1
Joseph Buloff,Yankev Kurlender,1
Joseph Buloff,Yankev Mansdorf,1
Joseph Buloff,Chaim Shniur,1
Joseph Buloff,Leonid Sniegov,1
Joseph Buloff,Mordechai Yachson,1
Joseph Buloff,Charles Adler,1
Joseph Buloff,Zalmen Hirshfeld,1
Joseph Buloff,Maureen O'Hara,1
Khavel Buzgan,Ida Kaminska,1
Khavel Buzgan,Avrom Morevsky,1
Khavel Buzgan,Dina Halpern,1
Khavel Buzgan,Rokhl Holtzer,1
Khavel Buzgan,Shimon Dzigan,1
Khavel Buzgan,Yisroel Shumacher,1
Khavel Buzgan,Ruth Turkow,1
Khavel Buzgan,Klara Segalovitch,1
Khavel Buzgan,Isaac Samberg,1
Khavel Buzgan,Henekh Kon,1
Khavel Buzgan,Gershon Lemberger,1
Khavel Buzgan,Ester-Rokhl Kaminska,1
Khavel Buzgan,Zygmunt Turkow,1
Khavel Buzgan,Avrom Morevsky,1
Khavel Buzgan,Nokhum Lipovski,1
Khavel Buzgan,Lidia Pototska,1
Khavel Buzgan,Julius Adler,1
Khavel Buzgan,Paul Baratoff,1
Khavel Buzgan,Yankev Kurlender,1
Khavel Buzgan,Yitskhok Dogim,1
Khavel Buzgan,Liza Schlossberg,1
Khavel Buzgan,Simkhe Natan,1
Khavel Buzgan,Naomi Natan,1
Khavel Buzgan,Rivka Shiller,1
Khavel Buzgan,Yankev Kurlender,1
Khavel Buzgan,Daniel Shapiro,1
Khavel Buzgan,Frida Vitalin,1
